site	reviewer	Name of Site	dopsat amplitude	diel signal (y/n)	accept/reject/examine	Reasoning (ocean / estuary / spring / dam / other)	NOTES
nwis_01400500 	Jim	Raritan River at Manville NJ	60	Y	accept		Remarkable flood recovery sequences - may have non-resetting floods
nwis_01454700 	Jim	Lehigh River at Glendon, PA	40	y	accept		short DO record
nwis_01463500 	Jim	Delaware River at Trenton NJ	50	y	accept		disturbance at very low discharge variability, 
nwis_01465798 	Jim	Poquessing Creek at Grant Ave. at Philadelphia	80	y	accept		flashy urban
nwis_01467042 	Jim	Pennypack Creek at Pine Road, at Philadelphia, PA	120	y	accept		flashy urban
nwis_01467048 	Jim	Pennypack Cr at Lower Rhawn St Bdg, Phila., PA	120	y	accept		check about distance with other pennypack cr site
nwis_01467086 	Jim	Tacony Creek ab Adams Avenue, Philadelphia, PA	120	y	accept		
nwis_01467087 	Jim	Frankford Creek at Castor Ave, Philadelphia, PA	120	y	accept		
nwis_01473500 	Jim	Schuylkill River at Norristown, PA	50	y	accept		Mostly good but VERY large excursions in recent record.  Maybe be regulated flow.
nwis_01474000 	Jim	Wissahickon Creek at Mouth, Philadelphia, PA	90	y	accept		large diel fluctuations in flow under baseflow , but 26 ft ASL, so not tidal.
nwis_01475530 	Jim	Cobbs Cr at U.S. Hghwy No. 1 at Philadelphia, PA	50	y	accept		
nwis_01475548 	Jim	Cobbs Creek at Mt. Moriah Cemetery, Philadelphia	100	y	accept		
nwis_01480617 	Jim	West Branch Brandywine Creek at Modena, PA	70	y	accept		
nwis_01480870 	Jim	East Branch Brandywine Creek below Downingtown, PA	90	y	accept		
nwis_01481000 	Jim	Brandywine Creek at Chadds Ford, PA	85	y	accept		
nwis_01481500 	Jim	BRANDYWINE CREEK AT WILMINGTON, DE	30	y	accept		
nwis_01493112 	Jim	CHESTERVILLE BRANCH NEAR CRUMPTON, MD	50	y	accept		
nwis_01540500 	Jim	Susquehanna River at Danville, PA	250	y	accept		250 is correct.  Susq has high DO and high pH TMDL
nwis_01542500 	Jim	WB Susquehanna River at Karthaus, PA	40	y	accept		
nwis_01544500 	Jim	Kettle Creek at Cross Fork, PA	45	y	accept		
nwis_01548303 	Jim	Straight Run, Site 1, at Marsh Creek, PA	10	y	accept		
nwis_01549700 	Jim	Pine Creek bl L Pine Creek near Waterville, PA	30	y	accept		
nwis_01570500 	Jim	Susquehanna River at Harrisburg, PA	50	y	accept		
nwis_01608500 	Jim	SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV	80	y	accept		
nwis_01611500 	Jim	CACAPON RIVER NEAR GREAT CACAPON, WV	70	y	accept		
nwis_01632900 	Jim	SMITH CREEK NEAR NEW MARKET, VA	45	y	accept		
nwis_01645704 	Jim	DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA	30	y	accept		
nwis_01645762 	Jim	S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA	40	y	accept		
nwis_01646000 	Jim	DIFFICULT RUN NEAR GREAT FALLS, VA	20	y	accept		
nwis_01646305 	Jim	DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA	80	y	accept		
nwis_01646500 	Jim	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	25	y	accept		weird patterns of post-flood productivity after large floods.
nwis_01648010 	Jim	ROCK CREEK AT JOYCE RD WASHINGTON, DC	70	y	accept		
nwis_01649190 	Jim	PAINT BRANCH NEAR COLLEGE PARK, MD	20	y	accept		
nwis_01649500 	Jim	NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD	90	y	accept		
nwis_01650800 	Jim	SLIGO CREEK NEAR TAKOMA PARK, MD	60	y	accept		
nwis_01654000 	Jim	ACCOTINK CREEK NEAR ANNANDALE, VA	60	y	accept		
nwis_01654500 	Jim	LONG BRANCH NEAR ANNANDALE, VA	55	y	accept		
nwis_01656903 	Jim	FLATLICK BRANCH ABOVE FROG BRANCH AT CHANTILLY, VA	110	y	accept		
nwis_01658000 	Jim	MATTAWOMAN CREEK NEAR POMONKEY, MD	20	y	accept		
nwis_0166818623 	Jim	MILL CREEK ABV PEUMANSEND CREEK NR PORT ROYAL, VA	20	y	accept		
nwis_0166818985 	Jim	MILL CREEK BLW PEUMANSEND CREEK NR PORT ROYAL, VA	10	y	accept		
nwis_01673000 	Jim	PAMUNKEY RIVER NEAR HANOVER, VA	30	y	accept		
nwis_02035000 	Emily B	JAMES RIVER AT CARTERSVILLE, VA	25	yes	accept		great storm recovery data
nwis_02101726 	Emily B	Rocky River at US 64	30	yes	accept		flashy Piedmont urban hydrograph
nwis_02110400 	Emily B	Buck Creek near Longs, SC	60	yes	accept		great storm recovery data
nwis_02156500 	Emily B	BROAD RIVER NEAR CARLISLE, SC	40	yes	accept		VERY INTERESTING - early record has regulated hydrograph later years look like natural flow regime
nwis_02160105 	Emily B	TYGER RIVER NEAR DELTA, SC	30	yes	accept		periods of low amplitude have clear problems with resolution
nwis_02160700 	Emily B	ENOREE RIVER AT WHITMIRE, SC	5	yes	accept		very flashy urban hydrograph with limited impact of storms on diel O2
nwis_02162035 	Emily B	BROAD RIVER NEAR COLUMBIA, SC	10	yes	accept		very flashy urban hydrograph with limited impact of storms on diel O2
nwis_02169000 	Emily B	SALUDA RIVER NEAR COLUMBIA, SC	25	yes	accept		well below Lake Murray Dam - regulated flow
nwis_02203655 	Emily B	SOUTH RIVER AT FORREST PARK ROAD, AT ATLANTA, GA	5	yes	accept		very flashy urban hydrograph with limited impact of storms on diel O2
nwis_02203700 	Emily B	INTRENCHMENT CR AT CONSTITUTION RD, NR ATLANTA, GA	80	yes	accept		very flashy urban hydrograph, great storm recovery patterns
nwis_02203863 	Emily B	SHOAL CREEK AT COLUMBIA DRIVE NEAR ATLANTA, GA	5	yes	accept		very flashy urban hydrograph with limited impact of storms on diel O2
nwis_02203900 	Emily B	SOUTH RIVER AT FLAKES MILL ROAD NR ATLANTA, GA	20	yes	accept		very flashy urban hydrograph with limited impact of storms on diel O2
nwis_02203950 	Emily B	SNAPFINGER CREEK NEAR DECATUR, GA	20	yes	accept		very flashy urban hydrograph with limited impact of storms on diel O2
nwis_02203960 	Emily B	SNAPFINGER CR AT THOMPSON MILL RD NR LITHONIA, GA	30	yes	accept		very flashy urban hydrograph with limited impact of storms on diel O2
nwis_02208450 	Emily B	ALCOVY RIVER ABOVE COVINGTON, GA	10	yes	accept		regulated hydrograph - perhaps recreational flows???
nwis_02208493 	Emily B	CORNISH CREEK AT HAZELBRAND RD NR COVINGTON, GA	10	yes	accept		
nwis_02234000 	Emily B	ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL	15	yes	accept		very strong seasonal signal
nwis_02264000 	Emily B	CYPRESS CREEK AT VINELAND, FL	15	yes	accept		
nwis_02264100 	Emily B	BONNET CREEK NEAR VINELAND, FL	120	yes	accept		
nwis_02266300 	Emily B	REEDY CREEK NEAR VINELAND, FL	5	yes	accept		suspect this is blackwater
nwis_02336120 	Emily B	N.F. PEACHTREE CREEK, BUFORD HWY, NEAR ATLANTA, GA	5	yes	accept		very flashy urban hydrograph with limited impact of storms on diel O2
nwis_02336152 	Emily B	SOUTH FORK PEACHTREE AT CASA RD, NR CLARKSTON, GA	40	yes	accept		very flashy urban hydrograph 
